event_id,train_id,station_id,station_order,event_time,schedule_time,delay,lambda,delay_type,date
0,2,4,2,26175357.0,26175343.0,14.0,0.005535837854962842,ini_delay,2019-10-08
1,3,5,2,26175382.0,26175344.0,38.0,0.005484760248061078,ini_delay,2019-10-08
2,8,0,3,26175414.0,26175408.0,6.0,0.005113985472331496,ini_delay,2019-10-08
3,0,4,5,26175415.0,26175413.0,2.0,0.00625143868360868,ini_delay,2019-10-08
4,4,5,3,26175417.0,26175415.0,2.0,0.07172710204664212,tri_delay,2019-10-08
5,1,4,3,26175419.0,26175368.0,51.0,0.06818467078292961,tri_delay,2019-10-08
6,8,3,4,26175439.0,26175437.0,2.0,0.005113985472331496,ini_delay,2019-10-08
7,4,4,4,26175472.0,26175453.0,19.0,0.009965394266849923,ini_delay,2019-10-08
8,11,2,2,26175473.0,26175462.0,11.0,0.036158367900286204,tri_delay,2019-10-08
9,3,4,3,26175475.0,26175383.0,92.0,0.005484760248061078,ini_delay,2019-10-08
10,9,0,2,26175481.0,26175468.0,13.0,0.004250659546608223,ini_delay,2019-10-08
11,10,9,2,26175481.0,26175480.0,1.0,0.03691542718536645,tri_delay,2019-10-08
12,13,5,2,26175515.0,26175479.0,36.0,0.032181149876217105,tri_delay,2019-10-08
13,11,4,3,26175523.0,26175488.0,35.0,0.009197466997311107,ini_delay,2019-10-08
14,6,9,2,26175524.0,26175420.0,104.0,0.00873525681750565,ini_delay,2019-10-08
15,9,8,4,26175528.0,26175515.0,13.0,0.011423405828453807,tri_delay,2019-10-08
16,7,4,2,26175545.0,26175398.0,147.0,0.009449386952301957,ini_delay,2019-10-08
17,14,1,2,26175550.0,26175507.0,43.0,0.0014940776505867506,ini_delay,2019-10-08
18,15,9,2,26175555.0,26175539.0,16.0,0.00922623461072479,ini_delay,2019-10-08
19,16,6,2,26175573.0,26175562.0,11.0,0.005532615857893021,ini_delay,2019-10-08
20,18,0,2,26175579.0,26175574.0,5.0,0.009589529383277763,ini_delay,2019-10-08
21,9,12,5,26175582.0,26175558.0,24.0,0.004250659546608223,ini_delay,2019-10-08
22,5,6,3,26175592.0,26175457.0,135.0,0.007367596346566454,ini_delay,2019-10-08
23,12,6,4,26175595.0,26175547.0,48.0,0.006894387204877659,ini_delay,2019-10-08
24,13,6,4,26175616.0,26175573.0,43.0,0.00837291061183633,ini_delay,2019-10-08
25,18,6,3,26175620.0,26175600.0,20.0,0.009589529383277763,ini_delay,2019-10-08
26,17,9,4,26175625.0,26175569.0,56.0,0.0072093094396123315,ini_delay,2019-10-08
27,18,8,4,26175634.0,26175620.0,14.0,0.04464224315823915,tri_delay,2019-10-08
28,5,11,5,26175636.0,26175629.0,7.0,0.017606220908489848,tri_delay,2019-10-08
29,6,4,4,26175638.0,26175624.0,14.0,0.00873525681750565,ini_delay,2019-10-08
30,19,5,2,26175654.0,26175631.0,23.0,0.03390073531280153,tri_delay,2019-10-08
31,13,12,5,26175654.0,26175628.0,26.0,0.00837291061183633,ini_delay,2019-10-08
32,5,7,6,26175675.0,26175672.0,3.0,0.007367596346566454,ini_delay,2019-10-08
33,20,5,2,26175688.0,26175685.0,3.0,0.03621393335497799,tri_delay,2019-10-08
34,12,14,5,26175694.0,26175626.0,68.0,0.006894387204877659,ini_delay,2019-10-08
35,12,9,6,26175704.0,26175698.0,6.0,0.050248300687475454,tri_delay,2019-10-08
