event_id,train_id,station_id,station_order,event_time,schedule_time,delay,lambda,delay_type,date
0,15,15,2,26219946.0,26219938.0,8.0,0.00455553966059914,ini_delay,2019-11-08
1,1,33,6,26219968.0,26219964.0,4.0,0.00547376602518813,ini_delay,2019-11-08
2,8,5,2,26219974.0,26219953.0,21.0,0.008190362434336018,ini_delay,2019-11-08
3,14,16,3,26219976.0,26219961.0,15.0,0.009174443171150602,ini_delay,2019-11-08
4,24,1,2,26219977.0,26219967.0,10.0,0.007221644321505577,ini_delay,2019-11-08
5,22,41,2,26219978.0,26219974.0,4.0,0.00611092296569972,ini_delay,2019-11-08
6,37,7,3,26219985.0,26219983.0,2.0,0.08580385104054063,tri_delay,2019-11-08
7,16,34,2,26219989.0,26219966.0,23.0,0.006588679625913266,ini_delay,2019-11-08
8,53,56,2,26219992.0,26219990.0,2.0,0.007418027842957447,ini_delay,2019-11-08
9,5,46,4,26219995.0,26219978.0,17.0,0.023046424831382768,tri_delay,2019-11-08
10,39,32,2,26219997.0,26219982.0,15.0,0.008765869102600882,ini_delay,2019-11-08
11,19,5,2,26219999.0,26219968.0,31.0,0.007559334983225765,ini_delay,2019-11-08
12,38,61,3,26220005.0,26220000.0,5.0,0.006196656778621405,ini_delay,2019-11-08
13,51,17,2,26220005.0,26219984.0,21.0,0.026197215132897873,tri_delay,2019-11-08
14,46,13,3,26220006.0,26219998.0,8.0,0.008428322535986254,ini_delay,2019-11-08
15,35,31,2,26220006.0,26219981.0,25.0,0.005144100692776391,ini_delay,2019-11-08
16,42,5,3,26220007.0,26220002.0,5.0,0.028957751340170975,tri_delay,2019-11-08
17,2,0,3,26220007.0,26219962.0,45.0,0.006381458284797083,ini_delay,2019-11-08
18,53,23,3,26220017.0,26220006.0,11.0,0.007418027842957447,ini_delay,2019-11-08
19,57,14,3,26220018.0,26220003.0,15.0,0.023877627671041214,tri_delay,2019-11-08
20,54,35,2,26220019.0,26219988.0,31.0,0.02665030859918012,tri_delay,2019-11-08
21,10,53,4,26220022.0,26219999.0,23.0,0.025978051812184655,tri_delay,2019-11-08
22,6,0,3,26220022.0,26219981.0,41.0,0.00473930636587537,ini_delay,2019-11-08
23,51,5,3,26220023.0,26220012.0,11.0,0.019245361787717182,tri_delay,2019-11-08
24,63,50,2,26220027.0,26220024.0,3.0,0.025695079625967444,tri_delay,2019-11-08
25,43,1,4,26220030.0,26220023.0,7.0,0.08514582496079089,tri_delay,2019-11-08
26,20,9,4,26220030.0,26220025.0,5.0,0.038513022601994656,tri_delay,2019-11-08
27,32,67,3,26220031.0,26220008.0,23.0,0.08070778342303055,tri_delay,2019-11-08
28,72,52,2,26220031.0,26220022.0,9.0,0.017391860132996755,tri_delay,2019-11-08
29,56,21,2,26220031.0,26220026.0,5.0,0.022128286903556227,tri_delay,2019-11-08
30,30,58,2,26220036.0,26219993.0,43.0,0.0220732089853396,tri_delay,2019-11-08
31,17,80,5,26220036.0,26220033.0,3.0,0.0024264227243905867,ini_delay,2019-11-08
32,66,39,2,26220037.0,26220019.0,18.0,0.004474208660159035,ini_delay,2019-11-08
33,65,2,2,26220038.0,26220019.0,19.0,0.005473452151676917,ini_delay,2019-11-08
34,51,20,4,26220039.0,26220031.0,8.0,0.0753637288897693,tri_delay,2019-11-08
35,47,57,3,26220040.0,26220025.0,15.0,0.007949746921175338,ini_delay,2019-11-08
36,70,43,2,26220041.0,26220028.0,13.0,0.05532976787082787,tri_delay,2019-11-08
37,55,81,3,26220044.0,26220033.0,11.0,0.007848410465385404,ini_delay,2019-11-08
38,10,83,5,26220045.0,26220044.0,1.0,0.0060067260171767075,ini_delay,2019-11-08
39,32,53,4,26220046.0,26220035.0,11.0,0.06815468850697776,tri_delay,2019-11-08
40,13,7,6,26220046.0,26220038.0,8.0,0.00813382803271719,ini_delay,2019-11-08
41,60,44,3,26220047.0,26220032.0,15.0,0.04286936554995738,tri_delay,2019-11-08
42,40,27,3,26220047.0,26220040.0,7.0,0.0025794880316007554,ini_delay,2019-11-08
43,69,60,3,26220047.0,26220036.0,11.0,0.105442428551422,tri_delay,2019-11-08
44,86,4,2,26220047.0,26220040.0,7.0,0.014694113777455966,tri_delay,2019-11-08
45,56,59,3,26220049.0,26220048.0,1.0,0.02166046795556572,tri_delay,2019-11-08
46,65,16,3,26220050.0,26220045.0,5.0,0.11820950939230986,tri_delay,2019-11-08
47,75,86,2,26220053.0,26220040.0,13.0,0.008522759331904384,ini_delay,2019-11-08
48,19,0,3,26220054.0,26220013.0,41.0,0.007559334983225765,ini_delay,2019-11-08
49,76,87,2,26220055.0,26220040.0,15.0,0.05946379425012267,tri_delay,2019-11-08
50,83,13,3,26220055.0,26220050.0,5.0,0.06189762396610446,tri_delay,2019-11-08
51,45,6,2,26220055.0,26219983.0,72.0,0.008865257490370943,ini_delay,2019-11-08
52,84,9,2,26220056.0,26220055.0,1.0,0.06422143136906427,tri_delay,2019-11-08
53,16,88,4,26220056.0,26220041.0,15.0,0.006588679625913266,ini_delay,2019-11-08
54,80,91,2,26220057.0,26220049.0,8.0,0.006629473139018426,ini_delay,2019-11-08
55,81,34,2,26220058.0,26220051.0,7.0,0.03562722183240363,tri_delay,2019-11-08
